"Timestamp","heroku.timestamp","heroku.source","heroku.dyno","at","method","path","host","request_id","fwd","dyno","connect","service","status","bytes","protocol"
"17 Feb 2022 10:33:42.747","2022-02-17T10:33:42.441018+00:00","heroku","router","info","GET","/_next/static/chunks/pages/leagues/%5Bid%5D/%5Btab%5D/%5B%5B...slug%5D%5D-5329fe40a3ade448.js","prod-fotmob.herokuapp.com","6b82048b-5c9b-4705-bc34-c31f5b0f4883","154.160.16.159,64.252.82.180","web.9","0ms","29ms","200","10565","https"
"17 Feb 2022 10:33:42.747","2022-02-17T10:33:42.61525+00:00","heroku","router","info","GET","/api/info","prod-fotmob.herokuapp.com","30a76e3b-de3f-4d16-8ea0-2fc5d4c3bf6f","182.93.75.17,64.252.104.162","web.13","0ms","24ms","200","509","https"
"17 Feb 2022 10:33:42.754","2022-02-17T10:33:42.429766+00:00","heroku","router","info","GET","/_next/static/chunks/pages/world-5828e91bb835d066.js","prod-fotmob.herokuapp.com","6880cb31-c87f-4c08-b3c5-3bf9ebd2a397","154.160.16.159,64.252.82.131","web.10","0ms","3ms","200","2647","https"
"17 Feb 2022 10:33:42.754","2022-02-17T10:33:42.435948+00:00","heroku","router","info","GET","/_next/static/chunks/2037-f0e3d08b8398a28a.js","prod-fotmob.herokuapp.com","7a57acb7-3081-460e-a635-0d620871a181","154.160.16.159,64.252.82.131","web.11","0ms","26ms","200","98579","https"
"17 Feb 2022 10:33:42.767","2022-02-17T10:33:42.547691+00:00","heroku","router","info","GET","/_next/static/chunks/8043-227973c7f5f1e478.js","prod-fotmob.herokuapp.com","4b423dab-b4e4-4afa-a1df-4c5cf41c0200","41.210.147.109,64.252.101.176","web.5","0ms","4ms","200","12469","https"
"17 Feb 2022 10:33:42.768","2022-02-17T10:33:42.608519+00:00","heroku","router","info","GET","/livescores/3288802/matchfacts/palmeiras-vs-corinthians?status=ongoing&date=20210117","prod-fotmob.herokuapp.com","e7f12c89-c307-4818-9415-35e825c21374","40.77.167.18,64.252.73.188","web.1","0ms","121ms","200","24143","https"
"17 Feb 2022 10:33:42.772","2022-02-17T10:33:42.358369+00:00","heroku","router","info","GET","/_next/static/chunks/2037-f0e3d08b8398a28a.js","prod-fotmob.herokuapp.com","d810bc68-8feb-4a03-9a64-471a526a6bb2","41.210.147.109,64.252.101.219","web.10","1ms","17ms","200","98583","https"
"17 Feb 2022 10:33:42.857","2022-02-17T10:33:42.511006+00:00","heroku","router","info","GET","/_next/static/chunks/8100-c922cf18717adc7d.js","prod-fotmob.herokuapp.com","9892be81-d9b3-424d-9dde-ba9d1b4e4ac2","154.160.16.159,64.252.85.246","web.13","0ms","107ms","200","4772","https"
"17 Feb 2022 10:33:42.864","2022-02-17T10:33:42.588411+00:00","heroku","router","info","GET","/_next/static/chunks/fec483df-19e59a0657a932d4.js","prod-fotmob.herokuapp.com","7a84a3b8-1d2c-4093-a11c-48038f1b7c1b","196.107.90.132, 102.23.98.16,64.252.98.135","web.3","1ms","27ms","200","111802","https"
"17 Feb 2022 10:33:42.865","2022-02-17T10:33:42.598948+00:00","heroku","router","info","GET","/_next/static/chunks/pages/_app-2dd31f28512cc2c5.js","prod-fotmob.herokuapp.com","02e56ea4-c7e8-4904-a122-cd523f96d0d8","196.107.90.132, 102.23.98.21,64.252.98.135","web.9","1ms","21ms","200","130380","https"
